team,score,xg,manager,captain,Year
Thailand,0,0.3,Noengruthai Sratongwian,Kanjana Sungngoen,2019
Chile,2,2.7,Juan Letelier,Christiane Endler,2019
Japan,0,1.4,Asako Takemoto,Saki Kumagai,2019
England,2,1.7,Phil Neville,Steph Houghton,2019
Scotland,3,2.2,Shelley Kerr,Rachel Corsie,2019
Argentina,3,1.6,Carlos Borrello,Estefanía Banini,2019
Italy,0,1.1,Milena Bertolini,Sara Gama,2019
Brazil,1,1.5,Vadão,Marta,2019
Jamaica,1,0.9,Hue Menzies,Konya Plummer,2019
Australia,4,2.2,Ante Milicic,Sam Kerr,2019
South Africa,0,0.5,Desiree Ellis,Janine van Wyk,2019
Germany,4,5.1,Martina Voss-Tecklenburg,Alexandra Popp,2019
China PR,0,0.1,Jia Xiuquan,Wu Haiyan,2019
Spain,0,1.7,Jorge Vilda,Irene Paredes,2019
Korea Republic,1,2.3,Yoon Deok-yeo,Cho So-hyun,2019
Norway,2,2.2,Martin Sjögren,Maren Mjelde,2019
Nigeria,0,0.0,Thomas Dennerby,Desire Oparanozie,2019
France,1,2.7,Corinne Diacre,Amandine Henry,2019
Sweden,5,5.2,Peter Gerhardsson,Caroline Seger,2019
Thailand,1,0.6,Noengruthai Sratongwian,Kanjana Sungngoen,2019
United States of America,3,3.7,Jill Ellis,Carli Lloyd,2019
Chile,0,0.0,Juan Letelier,Christiane Endler,2019
Netherlands,3,1.6,Sarina Wiegman,Sari van Veenendaal,2019
Cameroon,1,1.2,Alain Djeumfa,Christine Manie,2019
Canada,2,3.7,Kenneth Heiner-Møller,Christine Sinclair,2019
New Zealand,0,0.1,Tom Sermanni,Ali Riley,2019
Japan,2,2.6,Asako Takemoto,Saki Kumagai,2019
Scotland,1,0.9,Shelley Kerr,Rachel Corsie,2019
Jamaica,0,0.3,Hue Menzies,Konya Plummer,2019
Italy,5,3.4,Milena Bertolini,Sara Gama,2019
England,1,3.4,Phil Neville,Steph Houghton,2019
Argentina,0,0.1,Carlos Borrello,Estefanía Banini,2019
Australia,3,1.3,Ante Milicic,Sam Kerr,2019
Brazil,2,1.5,Vadão,Marta,2019
South Africa,0,0.2,Desiree Ellis,Janine van Wyk,2019
China PR,1,1.2,Jia Xiuquan,Wu Haiyan,2019
Nigeria,2,1.1,Thomas Dennerby,Desire Oparanozie,2019
Korea Republic,0,0.8,Yoon Deok-yeo,Cho So-hyun,2019
Germany,1,1.7,Martina Voss-Tecklenburg,Alexandra Popp,2019
Spain,0,0.9,Jorge Vilda,Marta Torrejón,2019
France,2,2.1,Corinne Diacre,Amandine Henry,2019
Norway,1,0.2,Martin Sjögren,Maren Mjelde,2019
New Zealand,0,0.7,Tom Sermanni,Ali Riley,2019
Netherlands,1,2.4,Sarina Wiegman,Sari van Veenendaal,2019
Chile,0,0.2,Juan Letelier,Christiane Endler,2019
Sweden,2,2.5,Peter Gerhardsson,Caroline Seger,2019
United States of America,13,7.1,Jill Ellis,Megan Rapinoe,2019
Thailand,0,0.1,Noengruthai Sratongwian,Kanjana Sungngoen,2019
Argentina,0,0.2,Carlos Borrello,Estefanía Banini,2019
Japan,0,0.4,Asako Takemoto,Saki Kumagai,2019
Canada,1,1.3,Kenneth Heiner-Møller,Christine Sinclair,2019
Cameroon,0,0.4,Alain Djeumfa,Christine Manie,2019
Australia,1,2.0,Ante Milicic,Sam Kerr,2019
Italy,2,0.8,Milena Bertolini,Sara Gama,2019
Brazil,3,3.7,Vadão,Mônica,2019
Jamaica,0,1.1,Hue Menzies,Konya Plummer,2019
England,2,2.0,Phil Neville,Steph Houghton,2019
Scotland,1,0.9,Shelley Kerr,Rachel Corsie,2019
Germany,1,0.8,Martina Voss-Tecklenburg,Alexandra Popp,2019
China PR,0,0.8,Jia Xiuquan,Wu Haiyan,2019
Spain,3,3.4,Jorge Vilda,Marta Torrejón,2019
South Africa,1,0.5,Desiree Ellis,Janine van Wyk,2019
Norway,3,0.6,Martin Sjögren,Maren Mjelde,2019
Nigeria,0,0.8,Thomas Dennerby,Desire Oparanozie,2019
France,4,1.6,Corinne Diacre,Amandine Henry,2019
Korea Republic,0,0.4,Yoon Deok-yeo,Cho So-hyun,2019
